ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09
2024-12-30T08:00:00.000000000Z,2024-12-30T08:00:00.000000000Z,10,1,29307,A,N,0,1.2504,0,0,0,0,6BH5,1.2503,1.2505,46,46,7,3,1.2502,1.2506,41,11,3,4,1.2501,1.2507,64,280,2,6,1.25,1.2508,35,6,7,7,1.2499,1.2509,14,34,1,3,1.2498,1.251,5,36,1,5,1.2497,1.2511,18,49,5,7,1.2496,1.2512,6,36,2,6,1.2495,1.2513,22,42,3,3,1.2494,1.2514,28,38,7,7
2024-12-30T08:00:05.000000000Z,2024-12-30T08:00:05.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,1,6BH5,1.2502,1.2504,40,32,1,2,1.2501,1.2505,11,22,6,2,1.25,1.2506,38,45,5,7,1.2499,1.2507,9,29,7,7,1.2498,1.2508,15,24,7,4,1.2497,1.2509,42,29,2,1,1.2496,1.251,5,25,5,4,1.2495,1.2511,14,16,4,1,1.2494,1.2512,12,46,2,2,1.2493,1.2513,45,6,3,2
2024-12-30T08:00:10.000000000Z,2024-12-30T08:00:10.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,2,6BH5,1.2502,1.2504,27,16,6,3,1.2501,1.2505,23,16,2,2,1.25,1.2506,41,42,1,3,1.2499,1.2507,40,13,4,2,1.2498,1.2508,9,37,5,7,1.2497,1.2509,33,22,5,6,1.2496,1.251,36,46,7,7,1.2495,1.2511,15,30,4,3,1.2494,1.2512,49,31,3,6,1.2493,1.2513,20,43,4,5
2024-12-30T08:00:15.000000000Z,2024-12-30T08:00:15.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,3,6BH5,1.2501,1.2503,352,40,5,5,1.25,1.2504,44,36,2,3,1.2499,1.2505,40,46,7,3,1.2498,1.2506,40,29,4,5,1.2497,1.2507,49,21,7,1,1.2496,1.2508,35,10,3,4,1.2495,1.2509,8,44,4,1,1.2494,1.251,49,30,2,7,1.2493,1.2511,28,17,5,2,1.2492,1.2512,35,47,2,7
2024-12-30T08:00:20.000000000Z,2024-12-30T08:00:20.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,4,6BH5,1.2501,1.2503,28,37,6,3,1.25,1.2504,21,25,3,2,1.2499,1.2505,288,336,2,6,1.2498,1.2506,36,15,6,2,1.2497,1.2507,23,22,5,2,1.2496,1.2508,47,31,3,5,1.2495,1.2509,27,46,1,6,1.2494,1.251,36,48,7,2,1.2493,1.2511,13,15,2,5,1.2492,1.2512,30,12,5,5
2024-12-30T08:00:25.000000000Z,2024-12-30T08:00:25.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,5,6BH5,1.25,1.2502,5,42,2,5,1.2499,1.2503,10,27,4,4,1.2498,1.2504,13,16,6,3,1.2497,1.2505,16,10,4,1,1.2496,1.2506,7,38,2,7,1.2495,1.2507,46,47,5,1,1.2494,1.2508,31,45,4,2,1.2493,1.2509,25,5,4,3,1.2492,1.251,15,11,2,7,1.2491,1.2511,30,44,5,2
2024-12-30T08:00:30.000000000Z,2024-12-30T08:00:30.000000000Z,10,1,29307,A,N,0,1.25,0,0,0,6,6BH5,1.2499,1.2501,45,45,5,4,1.2498,1.2502,12,47,4,2,1.2497,1.2503,8,42,6,1,1.2496,1.2504,25,10,1,1,1.2495,1.2505,28,26,5,1,1.2494,1.2506,30,23,2,4,1.2493,1.2507,32,6,6,7,1.2492,1.2508,42,43,4,6,1.2491,1.2509,35,30,4,2,1.249,1.251,14,22,7,1
2024-12-30T08:00:35.000000000Z,2024-12-30T08:00:35.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,7,6BH5,1.25,1.2502,9,41,6,6,1.2499,1.2503,19,21,3,5,1.2498,1.2504,32,26,5,2,1.2497,1.2505,22,21,4,6,1.2496,1.2506,328,352,3,1,1.2495,1.2507,13,27,7,4,1.2494,1.2508,43,26,3,6,1.2493,1.2509,44,41,2,2,1.2492,1.251,36,29,3,5,1.2491,1.2511,42,6,2,5
2024-12-30T08:00:40.000000000Z,2024-12-30T08:00:40.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,8,6BH5,1.25,1.2502,28,18,5,6,1.2499,1.2503,48,39,5,7,1.2498,1.2504,6,44,5,6,1.2497,1.2505,38,15,4,3,1.2496,1.2506,304,328,4,4,1.2495,1.2507,21,8,2,1,1.2494,1.2508,47,13,2,7,1.2493,1.2509,24,43,7,1,1.2492,1.251,39,27,6,2,1.2491,1.2511,27,41,1,7
2024-12-30T08:00:45.000000000Z,2024-12-30T08:00:45.000000000Z,10,1,29307,A,N,0,1.25,0,0,0,9,6BH5,1.2499,1.2501,23,34,5,5,1.2498,1.2502,320,240,1,3,1.2497,1.2503,13,12,2,5,1.2496,1.2504,47,40,6,6,1.2495,1.2505,13,38,3,1,1.2494,1.2506,40,48,5,1,1.2493,1.2507,8,6,5,6,1.2492,1.2508,152,224,4,7,1.2491,1.2509,21,11,2,5,1.249,1.251,112,40,2,1
