iter	Passed	Remaining
0	2	138
1	4	131
2	6	143
3	8	133
4	10	127
5	11	117
6	13	114
7	14	108
8	16	104
9	17	97
10	18	94
11	19	89
12	21	87
13	22	83
14	24	81
15	25	78
16	26	76
17	27	73
18	29	71
19	30	69
20	31	67
21	32	65
22	34	64
23	35	61
24	37	60
25	38	59
26	40	57
27	41	55
28	42	54
29	43	52
30	44	50
31	46	48
32	47	47
33	48	45
34	49	44
35	51	42
36	52	41
37	53	39
38	55	38
39	56	36
40	58	35
41	59	34
42	61	32
43	62	31
44	63	29
45	65	28
46	67	27
47	68	25
48	69	24
49	71	22
50	72	21
51	73	19
52	74	18
53	75	16
54	77	15
55	78	13
56	79	12
57	80	11
58	82	9
59	83	8
60	85	6
61	86	5
62	87	4
63	88	2
64	89	1
65	91	0
