ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-01T00:00:00.000000000Z,2024-12-31T21:59:59.800612945Z,10,1,29307,A,N,0,1.2507,2,168,0,28093558,1.2507,1.2508,11,5,3,2,1.2506,1.2509,21,31,5,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,6BH5
2025-01-01T22:45:11.822448717Z,2025-01-01T22:45:11.822228593Z,10,1,29307,C,B,0,1.2507,5,130,17854,28100917,1.2507,1.2508,6,5,2,2,1.2506,1.2509,21,31,5,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,6BH5
2025-01-01T22:45:11.822465275Z,2025-01-01T22:45:11.822357897Z,10,1,29307,C,B,0,1.2507,2,130,12415,28100918,1.2507,1.2508,4,5,1,2,1.2506,1.2509,21,31,5,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,6BH5
2025-01-01T22:45:11.822879888Z,2025-01-01T22:45:11.822375159Z,10,1,29307,C,B,0,1.2507,4,130,14302,28100919,1.2506,1.2508,21,5,5,2,1.2505,1.2509,29,31,5,6,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,6BH5
2025-01-01T22:45:11.822889656Z,2025-01-01T22:45:11.822390595Z,10,1,29307,C,A,0,1.2508,2,130,12664,28100920,1.2506,1.2508,21,3,5,1,1.2505,1.2509,29,31,5,6,1.2504,1.251,32,33,4,2,1.2503,1.2511,33,32,6,5,1.2502,1.2512,35,37,2,6,1.2501,1.2513,34,33,5,5,1.25,1.2514,34,32,5,3,1.2499,1.2515,35,34,8,7,1.2498,1.2516,36,32,3,4,1.2497,1.2517,34,52,1,5,6BH5
2025-01-01T22:45:11.822901898Z,2025-01-01T22:45:11.822406607Z,10,1,29307,C,A,0,1.2508,3,130,12818,28100921,1.2506,1.2509,21,31,5,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:41.818303100Z,2025-01-01T22:46:41.818165087Z,10,1,29307,C,B,0,1.2506,4,130,16584,28101191,1.2506,1.2509,17,31,4,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:45.818282800Z,2025-01-01T22:46:45.818150099Z,10,1,29307,M,B,0,1.2506,2,130,16901,28101204,1.2506,1.2509,13,31,4,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:46.818317693Z,2025-01-01T22:46:46.818190861Z,10,1,29307,C,B,0,1.2506,2,130,18134,28101208,1.2506,1.2509,11,31,3,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:47.818429785Z,2025-01-01T22:46:47.818295903Z,10,1,29307,M,B,0,1.2506,2,130,17063,28101212,1.2506,1.2509,8,31,3,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:48.818376919Z,2025-01-01T22:46:48.818253127Z,10,1,29307,C,B,0,1.2506,2,130,14629,28101216,1.2506,1.2509,6,31,2,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:49.818465250Z,2025-01-01T22:46:49.818342917Z,10,1,29307,M,B,0,1.2506,3,130,16199,28101219,1.2506,1.2509,4,31,2,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
2025-01-01T22:46:50.818562717Z,2025-01-01T22:46:50.818432959Z,10,1,29307,M,B,0,1.2506,2,130,16751,28101222,1.2506,1.2509,3,31,2,6,1.2505,1.251,29,33,5,2,1.2504,1.2511,32,32,4,5,1.2503,1.2512,33,37,6,6,1.2502,1.2513,35,33,2,5,1.2501,1.2514,34,32,5,3,1.25,1.2515,34,34,5,7,1.2499,1.2516,35,32,8,4,1.2498,1.2517,36,52,3,5,1.2497,1.2518,34,33,1,5,6BH5
